text,category,priority
"flood water entered village houses in Remote area of Sonbhadra, need rescue",Rural Development (Panchayati Raj),High
low voltage problem in Bareilly Cantt during evening hours,Electricity (UPPCL),Medium
talaab par kabza ho raha hai Remote area of Sonbhadra gaon mein,Rural Development (Panchayati Raj),Medium
zebra crossing repaint kara do Mau Tehsil chowk par,Roads (PWD/NHAI),Low
frequent power cuts in Unnao City is affecting exam preparation,Electricity (UPPCL),Medium
character certificate chahiye Gonda City police station se,Police (Home Dept),Low
"oxygen cylinder available nahi hai Sigra, Varanasi hospital me",Health (Medical),High
"transformer caught fire in Sigra, Varanasi and oil is leaking",Electricity (UPPCL),High
need a sign board direction for Village Chhata village,Roads (PWD/NHAI),Low
need a sign board direction for Village Rampur village,Roads (PWD/NHAI),Low
"sewage water mixing with drinking water in Village Rampur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"flood water entered village houses in Gram Panchayat Bojhi, need rescue",Rural Development (Panchayati Raj),High
"long waiting line for opd registration in Hazratganj, Lucknow",Health (Medical),Low
dogs roaming inside the ward at Post Kakori chc,Health (Medical),Medium
need a sign board direction for Block Malihabad village,Roads (PWD/NHAI),Low
"ambulance nahi aa rahi Prayagraj City mein, patient serious hai",Health (Medical),High
village pond is being encroached by builder in Mau Tehsil,Rural Development (Panchayati Raj),Medium
road construction incomplete in Village Rampur,Roads (PWD/NHAI),Medium
solar panel subsidy ki jankari chahiye Gram Panchayat Bojhi ke liye,Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Tehsil Bikapur में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
solar panel subsidy ki jankari chahiye Faizabad Chowk ke liye,Electricity (UPPCL),Low
"clean water nahi aa raha hai Gomti Nagar, Lucknow mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
sadak par bada gadda hai Agra Fort area market ke paas,Roads (PWD/NHAI),High
sadak par bada gadda hai Raebareli Market market ke paas,Roads (PWD/NHAI),High
stray cattle destroying crops in Village Chhata farms,Rural Development (Panchayati Raj),Medium
bijli ka bill bahut jyada aaya hai Unnao City mein,Electricity (UPPCL),Medium
"live wire fell on the street in Gram Panchayat Bojhi, huge danger to kids",Electricity (UPPCL),High
"frequent power cuts in Civil Lines, Kanpur is affecting exam preparation",Electricity (UPPCL),Medium
ladayi ho rahi hai Tehsil Bikapur chourahe par,Police (Home Dept),High
dogs roaming inside the ward at Agra Fort area chc,Health (Medical),Medium
"primary school roof is leaking in Post Kakori, dangerous for kids",Rural Development (Panchayati Raj),Medium
meter name change application pending in Unnao City,Electricity (UPPCL),Low
armed robbery in shop at Unnao City market last night,Police (Home Dept),High
library books request for Gram Panchayat Bojhi village school,Rural Development (Panchayati Raj),Low
doctor refused to treat critical patient in Faizabad Chowk phc,Health (Medical),High
bridge railing toot gayi hai Village Rampur mein,Roads (PWD/NHAI),High
park needs cleaning in Gram Kachhona residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
sadak toot gayi hai Etawah Main mein,Roads (PWD/NHAI),Medium
pradhan ne paisa kha liya Post Kakori road ka,Rural Development (Panchayati Raj),High
loudspeaker shor kar raha hai Village Chhata mein raat ko,Police (Home Dept),Medium
"flood water entered village houses in Village Basrehar, need rescue",Rural Development (Panchayati Raj),High
"bijli ka bill bahut jyada aaya hai Civil Lines, Kanpur mein",Electricity (UPPCL),Medium
frequent power cuts in Noida Sector 18 is affecting exam preparation,Electricity (UPPCL),Medium
doctor refused to treat critical patient in Sitapur One phc,Health (Medical),High
traffic police asking for bribe at Faizabad Chowk crossing,Police (Home Dept),Medium
"flood water entered village houses in Tehsil Bikapur, need rescue",Rural Development (Panchayati Raj),High
" मच्छर बहुत हो गए हैं Bareilly Cantt में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"live wire fell on the street in Gram Panchayat Bojhi, huge danger to kids",Electricity (UPPCL),High
stray cattle destroying crops in Post Kakori farms,Rural Development (Panchayati Raj),Medium
need a sign board direction for Village Chhata village,Roads (PWD/NHAI),Low
ladayi ho rahi hai Gram Kachhona chourahe par,Police (Home Dept),High
armed robbery in shop at Village Rampur market last night,Police (Home Dept),High
meter name change application pending in Remote area of Sonbhadra,Electricity (UPPCL),Low
pradhan embezzled all money for road construction in Gram Kachhona,Rural Development (Panchayati Raj),High
meter name change application pending in Block Malihabad,Electricity (UPPCL),Low
sadak toot gayi hai Tehsil Bikapur mein,Roads (PWD/NHAI),Medium
transformer caught fire in Etawah Main and oil is leaking,Electricity (UPPCL),High
passport verification pending at Mau Tehsil thana for 2 weeks,Police (Home Dept),Low
"phone chori ho gaya Sigra, Varanasi market me",Police (Home Dept),Medium
"birth certificate spelling correction request at Gomti Nagar, Lucknow",Health (Medical),Low
ganda paani nalo se aa raha hai Basti area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
talaab par kabza ho raha hai Mau Tehsil gaon mein,Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Gonda City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
need a sign board direction for Sitapur One village,Roads (PWD/NHAI),Low
"bijli ka bill bahut jyada aaya hai Hazratganj, Lucknow mein",Electricity (UPPCL),Medium
passport verification pending at Meerut City thana for 2 weeks,Police (Home Dept),Low
birth certificate spelling correction request at Sitapur One,Health (Medical),Low
fake medicine racket operating in Tehsil Bikapur medical stores,Health (Medical),High
vaccine kab lagega Etawah Main center par?,Health (Medical),Low
solar panel subsidy ki jankari chahiye Meerut City ke liye,Electricity (UPPCL),Low
potholes needs repair in Hardoi City before monsoon,Roads (PWD/NHAI),Medium
dogs roaming inside the ward at Hardoi City chc,Health (Medical),Medium
"solar panel subsidy ki jankari chahiye Hazratganj, Lucknow ke liye",Electricity (UPPCL),Low
pradhan embezzled all money for road construction in Remote area of Sonbhadra,Rural Development (Panchayati Raj),High
handpump kharab hai Basti mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"Tehsil Bikapur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
"garbage truck not coming to Sigra, Varanasi for last 3 days",Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
armed robbery in shop at Block Malihabad market last night,Police (Home Dept),High
"road caved in due to heavy rain in Village Rampur, traffic blocked",Roads (PWD/NHAI),High
"clean water nahi aa raha hai Meerut City mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
village pond is being encroached by builder in Village Chhata,Rural Development (Panchayati Raj),Medium
child kidnapped from Orai school area,Police (Home Dept),High
birth certificate spelling correction request at Remote area of Sonbhadra,Health (Medical),Low
public toilet tap is dripping in Meerut City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
passport verification pending at Agra Fort area thana for 2 weeks,Police (Home Dept),Low
talaab par kabza ho raha hai Tehsil Bikapur gaon mein,Rural Development (Panchayati Raj),Medium
garbage truck not coming to Ghaziabad for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
" मच्छर बहुत हो गए हैं Hardoi City में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
potholes needs repair in Block Malihabad before monsoon,Roads (PWD/NHAI),Medium
vaccine kab lagega Orai center par?,Health (Medical),Low
transformer caught fire in Mau Tehsil and oil is leaking,Electricity (UPPCL),High
sadak par bada gadda hai Gonda City market ke paas,Roads (PWD/NHAI),High
"chori ho gayi hai Orai mein, police bhejo",Police (Home Dept),High
"open manhole on main road in Mau Tehsil, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
meter name change application pending in Etawah Main,Electricity (UPPCL),Low
"open manhole on main road in Barabanki Town, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"general query about filing fir online for Hazratganj, Lucknow resident",Police (Home Dept),Low
"ambulance nahi aa rahi Raebareli Market mein, patient serious hai",Health (Medical),High
"chori ho gayi hai Basti mein, police bhejo",Police (Home Dept),High
"primary school roof is leaking in Remote area of Sonbhadra, dangerous for kids",Rural Development (Panchayati Raj),Medium
zebra crossing repaint kara do Village Basrehar chowk par,Roads (PWD/NHAI),Low
"vaccine kab lagega Hazratganj, Lucknow center par?",Health (Medical),Low
"doctor refused to treat critical patient in Civil Lines, Kanpur phc",Health (Medical),High
handpump kharab hai Noida Sector 18 mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
x-ray machine kharab hai Gram Panchayat Bojhi mein,Health (Medical),Medium
handpump kharab hai Ghaziabad mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"fake medicine racket operating in Sigra, Varanasi medical stores",Health (Medical),High
request to start sewing center for women in Post Kakori,Rural Development (Panchayati Raj),Low
handpump kharab hai Post Kakori mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
long waiting line for opd registration in Etawah Main,Health (Medical),Low
pradhan ne paisa kha liya Mau Tehsil road ka,Rural Development (Panchayati Raj),High
passport verification pending at Village Rampur thana for 2 weeks,Police (Home Dept),Low
zebra crossing repaint kara do Post Kakori chowk par,Roads (PWD/NHAI),Low
poore gaon mein light nahi hai Hardoi City mein pichle 2 din se,Electricity (UPPCL),High
character certificate chahiye Village Rampur police station se,Police (Home Dept),Low
park needs cleaning in Hardoi City residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
need a sign board direction for Meerut City village,Roads (PWD/NHAI),Low
meter name change application pending in Village Rampur,Electricity (UPPCL),Low
bridge railing toot gayi hai Hardoi City mein,Roads (PWD/NHAI),High
dogs roaming inside the ward at Tehsil Bikapur chc,Health (Medical),Medium
ganda paani nalo se aa raha hai Gram Panchayat Bojhi area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
"clean water nahi aa raha hai Village Basrehar mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
library books request for Gram Kachhona village school,Rural Development (Panchayati Raj),Low
public toilet tap is dripping in Faizabad Chowk,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
general query about filing fir online for Prayagraj City resident,Police (Home Dept),Low
"ambulance nahi aa rahi Unnao City mein, patient serious hai",Health (Medical),High
" मच्छर बहुत हो गए हैं Bareilly Cantt में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
street light pole looking tilted in Block Malihabad,Electricity (UPPCL),Low
ganda paani nalo se aa raha hai Bareilly Cantt area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
mobile phone snatched while walking in Noida Sector 18,Police (Home Dept),Medium
"flood water entered village houses in Gram Kachhona, need rescue",Rural Development (Panchayati Raj),High
"bijli ka bill bahut jyada aaya hai Gomti Nagar, Lucknow mein",Electricity (UPPCL),Medium
ganda paani nalo se aa raha hai Gonda City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
ganda paani nalo se aa raha hai Gram Panchayat Bojhi area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
general query about filing fir online for Hardoi City resident,Police (Home Dept),Low
meter name change application pending in Barabanki Town,Electricity (UPPCL),Low
unhygienic toilets in the Village Basrehar government hospital,Health (Medical),Medium
general query about filing fir online for Village Chhata resident,Police (Home Dept),Low
internet nahi chal raha Village Rampur panchayat bhavan me,Rural Development (Panchayati Raj),Low
frequent power cuts in Village Chhata is affecting exam preparation,Electricity (UPPCL),Medium
poore gaon mein light nahi hai Mau Tehsil mein pichle 2 din se,Electricity (UPPCL),High
passport verification pending at Post Kakori thana for 2 weeks,Police (Home Dept),Low
"x-ray machine kharab hai Hazratganj, Lucknow mein",Health (Medical),Medium
fake medicine racket operating in Ghaziabad medical stores,Health (Medical),High
mnrega ka paisa nahi mila Tehsil Bikapur mein,Rural Development (Panchayati Raj),High
x-ray machine kharab hai Prayagraj City mein,Health (Medical),Medium
"ladayi ho rahi hai Hazratganj, Lucknow chourahe par",Police (Home Dept),High
park needs cleaning in Agra Fort area residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"fake medicine racket operating in Hazratganj, Lucknow medical stores",Health (Medical),High
doctor late aate hain Post Kakori hospital mein,Health (Medical),Medium
general query about filing fir online for Ghaziabad resident,Police (Home Dept),Low
doctor late aate hain Unnao City hospital mein,Health (Medical),Medium
solar panel subsidy ki jankari chahiye Noida Sector 18 ke liye,Electricity (UPPCL),Low
